央卫频道,#genre#
广东卫视,http://111.221.137.155:44330/tsfile/live/0125_1.m3u8?key=txiptv&playlive=0&authid=0$深圳天威
大湾区卫视,http://111.221.137.155:44330/tsfile/live/1002_1.m3u8?key=txiptv&playlive=0&authid=0$深圳天威
湖南卫视,http://111.221.137.155:44330/tsfile/live/0122_1.m3u8?key=txiptv&playlive=0&authid=0$深圳天威
江苏卫视,http://111.221.137.155:44330/tsfile/live/0135_1.m3u8?key=txiptv&playlive=0&authid=0$深圳天威
浙江卫视,http://111.221.137.155:44330/tsfile/live/0131_1.m3u8?key=txiptv&playlive=0&authid=0$深圳天威
北京卫视,http://111.221.137.155:44330/tsfile/live/0138_1.m3u8?key=txiptv&playlive=0&authid=0$深圳天威
东方卫视,http://111.221.137.155:44330/tsfile/live/0107_1.m3u8?key=txiptv&playlive=0&authid=0$深圳天威
天津卫视,http://111.221.137.155:44330/tsfile/live/0132_2.m3u8?key=txiptv&playlive=0&authid=0$深圳天威
山东卫视,http://111.221.137.155:44330/tsfile/live/0121_2.m3u8?key=txiptv&playlive=0&authid=0$深圳天威
黑龙江卫视,http://111.221.137.155:44330/tsfile/live/0143_1.m3u8?key=txiptv&playlive=0&authid=0$深圳天威
安徽卫视,http://111.221.137.155:44330/tsfile/live/0120_1.m3u8?key=txiptv&playlive=0&authid=0$深圳天威
辽宁卫视,http://111.221.137.155:44330/tsfile/live/0121_1.m3u8?key=txiptv&playlive=0&authid=0$深圳天威
湖北卫视,http://111.221.137.155:44330/tsfile/live/0132_1.m3u8?key=txiptv&playlive=0&authid=0$深圳天威
重庆卫视,http://111.221.137.155:44330/tsfile/live/0142_1.m3u8?key=txiptv&playlive=0&authid=0$深圳天威
四川卫视,http://111.221.137.155:44330/tsfile/live/1017_1.m3u8?key=txiptv&playlive=0&authid=0$深圳天威
吉林卫视,http://111.221.137.155:44330/tsfile/live/0017_1.m3u8?key=txiptv&playlive=0&authid=0$深圳天威
江西卫视,http://111.221.137.155:44330/tsfile/live/1019_1.m3u8?key=txiptv&playlive=0&authid=0$深圳天威
CCTV1,http://111.192.211.132:8888/rtp/239.3.1.129:8008$北京联通
CCTV2,http://111.192.211.132:8888/rtp/239.3.1.60:8084$北京联通
CCTV3,http://111.192.211.132:8888/rtp/239.3.1.172:8001$北京联通
CCTV4,http://111.192.211.132:8888/rtp/239.3.1.105:8092$北京联通
CCTV5,http://111.192.211.132:8888/rtp/239.3.1.173:8001$北京联通
CCTV6,http://111.192.211.132:8888/rtp/239.3.1.174:8001$北京联通
CCTV7,http://111.192.211.132:8888/rtp/239.3.1.61:8104$北京联通
CCTV8,http://111.192.211.132:8888/rtp/239.3.1.175:8001$北京联通
CCTV9,http://111.192.211.132:8888/rtp/239.3.1.62:8112$北京联通
CCTV10,http://111.192.211.132:8888/rtp/239.3.1.63:8116$北京联通
CCTV11,http://111.192.211.132:8888/rtp/239.3.1.152:8120$北京联通
CCTV12,http://111.192.211.132:8888/rtp/239.3.1.64:8124$北京联通
CCTV13,http://111.192.211.132:8888/rtp/239.3.1.124:8128$北京联通
CCTV14,http://111.192.211.132:8888/rtp/239.3.1.65:8132$北京联通
CCTV15,http://111.192.211.132:8888/rtp/239.3.1.153:8136$北京联通
CCTV16,http://111.192.211.132:8888/rtp/239.3.1.184:8001$北京联通
CCTV17,http://111.192.211.132:8888/rtp/239.3.1.151:8144$北京联通
CCTV5+,http://111.192.211.132:8888/rtp/239.3.1.130:8004$北京联通
安徽卫视,http://111.192.211.132:8888/rtp/239.3.1.211:8064$北京联通
北京卫视,http://111.192.211.132:8888/rtp/239.3.1.241:8000$北京联通
兵团卫视,http://111.192.211.132:8888/rtp/239.3.1.144:4120$北京联通
东方卫视,http://111.192.211.132:8888/rtp/239.3.1.136:8032$北京联通
东南卫视,http://111.192.211.132:8888/rtp/239.3.1.156:8148$北京联通
甘肃卫视,http://111.192.211.132:8888/rtp/239.3.1.49:8188$北京联通
广东卫视,http://111.192.211.132:8888/rtp/239.3.1.142:8048$北京联通
