
4K频道,#genre#
CCTV9高清,http://106.53.99.30/php/cctv/cctvnews.php?id=cctv9&q=gq
CCTV9超清,http://106.53.99.30/php/cctv/cctvnews.php?id=cctv9&q=cq
CCTV9蓝光,http://106.53.99.30/php/cctv/cctvnews.php?id=cctv9&q=lg
CCTV10高清,http://106.53.99.30/php/cctv/cctvnews.php?id=cctv10&q=gq
CCTV10超清,http://106.53.99.30/php/cctv/cctvnews.php?id=cctv10&q=cq
CCTV10蓝光,http://106.53.99.30/php/cctv/cctvnews.php?id=cctv10&q=lg
CCTV12高清,http://106.53.99.30/php/cctv/cctvnews.php?id=cctv12&q=gq
CCTV12超清,http://106.53.99.30/php/cctv/cctvnews.php?id=cctv12&q=cq
CCTV12蓝光,http://106.53.99.30/php/cctv/cctvnews.php?id=cctv12&q=lg
CCTV13高清,http://106.53.99.30/php/cctv/cctvnews.php?id=cctv13&q=gq
CCTV13超清,http://106.53.99.30/php/cctv/cctvnews.php?id=cctv13&q=cq
CCTV13蓝光,http://106.53.99.30/php/cctv/cctvnews.php?id=cctv13&q=lg
CCTV17高清,http://106.53.99.30/php/cctv/cctvnews.php?id=cctv17&q=gq
CCTV17超清,http://106.53.99.30/php/cctv/cctvnews.php?id=cctv17&q=cq
CCTV17蓝光,http://106.53.99.30/php/cctv/cctvnews.php?id=cctv17&q=lg
CCTV4K高清,http://106.53.99.30/php/cctv/cctvnews.php?id=cctv4k&q=gq
CCTV4K超清,http://106.53.99.30/php/cctv/cctvnews.php?id=cctv4k&q=cq
CCTV4K蓝光,http://106.53.99.30/php/cctv/cctvnews.php?id=cctv4k&q=lg
CCTV-4 欧洲,http://www.lizhinas.top:1009/rtp/239.252.219.98:5140
CCTV-世界地理,http://www.lizhinas.top:1009/rtp/239.252.219.93:5140
CCTV-风云足球,http://www.lizhinas.top:1009/rtp/239.252.219.96:5140
CCTV-风云音乐,http://www.lizhinas.top:1009/rtp/239.252.219.87:5140
CCTV-风云剧场,http://www.lizhinas.top:1009/rtp/239.252.219.89:5140
CCTV-第一剧场,http://www.lizhinas.top:1009/rtp/239.252.219.86:5140
CCTV-怀旧剧场,http://www.lizhinas.top:1009/rtp/239.252.219.90:5140
CCTV-文化精品,http://www.lizhinas.top:1009/rtp/239.252.219.81:5140
CCTV-女性时尚,http://www.lizhinas.top:1009/rtp/239.252.219.94:5140
CCTV-卫生健康,http://nas.hssvm.com:8888/udp/225.1.1.210:5002
CCTV-央视台球,http://www.lizhinas.top:1009/rtp/239.252.219.80:5140
CCTV-央视高网,http://www.lizhinas.top:1009/rtp/239.252.219.95:5140
CCTV-电视指南,http://www.lizhinas.top:1009/rtp/239.252.219.97:5140
中国天气,http://hls.weathertv.cn/tslslive/qCFIfHB/hls/live_sd.m3u8
中国交通,http://drive.mxmy.net:8888/udp/239.3.1.188:8001
直播中国,https://gcalic.v.myalicdn.com/gc/wgw05_1/index.m3u8?contentid=2820180516001
熊猫直播,https://gcwbndali.v.myalicdn.com/gcwbnd/ipanda1000_2/index.m3u8

TVB,http://push-rtmp-hs-spe-f5.douyincdn.com/live/ztxw01.flv
翡翠台,http://push-rtmp-hs-spe-f5.douyincdn.com/live/hyxw01.flv
TVB,http://push-rtmp-hs-spe-f5.douyincdn.com/live/dsxw01.flv
翡翠台,http://push-rtmp-hs-spe-f5.douyincdn.com/live/awei_jade.flv
翡翠台,http://push-rtmp-hs-spe-f5.douyincdn.com/live/xiangjiaoge15131132145.flv
TVB,http://push-rtmp-hs-spe-f5.douyincdn.com/live/awei_j2.flv
TVB,http://push-rtmp-hs-spe-f5.douyincdn.com/live/awei_mstw.flv
HOY78,http://push-rtmp-hs-spe-f5.douyincdn.com/live/awei_hoy78.flv
星空卫视,http://zhibo.hkstv.tv/livestream/mutfysrq/playlist.m3u8
凤凰中文,http://push-rtmp-hs-spe-f5.douyincdn.com/live/awei_fhzw.flv
凤凰中文,http://push-rtmp-hs-spe-f5.douyincdn.com/live/awei_fhxg.flv
翡翠台,http://push-rtmp-hs-spe-f5.douyincdn.com/live/awei_jade.flv
TVB,http://push-rtmp-hs-spe-f5.douyincdn.com/live/awei_j2.flv
HOY78,http://push-rtmp-hs-spe-f5.douyincdn.com/live/awei_hoy78.flv
中天亚洲,http://push-rtmp-hs-spe-f5.douyincdn.com/live/awei_bddy.flv
中天亚洲,http://push-rtmp-hs-spe-f5.douyincdn.com/live/awei_ztyz.flv
翡翠台,http://push-rtmp-hs-spe-f5.douyincdn.com/live/xiangjiaoge15131132145.flv
Hoy78,http://push-rtmp-hs-spe-f5.douyincdn.com/live/xaigjiaogehoy7801.flv
星空卫视,http://iot-mqqt.111yao.cn:8080/live/diyp_starmovies.m3u8
星空卫视,http://iot-mqqt.111yao.cn:8080/live/diyp_xingkong.m3u8
凤凰电影,http://iot-mqqt.111yao.cn:8080/live/diyp_fhdy.m3u8
中天亚洲,http://iot-mqqt.111yao.cn:8080/live/diyp_channelv.m3u8

央视频道,#genre#
CCTV1,http://iptv.huuc.edu.cn/hls/cctv1hd.m3u8
CCTV2,http://iptv.huuc.edu.cn/hls/cctv2hd.m3u8
CCTV3,http://iptv.huuc.edu.cn/hls/cctv3hd.m3u8
CCTV4,http://iptv.huuc.edu.cn/hls/cctv4hd.m3u8
CCTV5,http://iptv.huuc.edu.cn/hls/cctv5hd.m3u8
CCTV6,http://iptv.huuc.edu.cn/hls/cctv6hd.m3u8
CCTV7,http://iptv.huuc.edu.cn/hls/cctv7hd.m3u8
CCTV8,http://iptv.huuc.edu.cn/hls/cctv8hd.m3u8
CCTV9,http://iptv.huuc.edu.cn/hls/cctv9hd.m3u8
